Time	[X_25,1]	[X_25,2]	[X_25,3]	[X_25,4]	[X_25,5]	[X_25,6]	[X_25,7]	[X_25,8]	[X_25,9]	[X_25,10]	[X_25,11]	[X_25,12]	[X_25,13]	[X_25,14]	[X_25,15]	[X_25,16]	[X_25,17]	[X_25,18]	[X_25,19]	[X_25,20]	[X_25,21]	[X_25,22]	[X_25,23]	[X_25,24]	[X_25,25]	[X_25,26]	[X_25,27]	[X_25,28]	[X_25,29]	[X_25,30]	[X_25,31]	[X_25,32]	[X_25,33]	[X_25,34]	[X_25,35]	[X_25,36]	[X_25,37]	[X_25,38]	[X_25,39]	[X_25,40]	[X_25,41]	[X_25,42]	[X_25,43]	[X_25,44]	[X_25,45]	[X_25,46]	[X_25,47]	[X_25,48]	[X_25,49]
718	16.872	18.3105	20.0308	23.3875	27.1304	30.4087	35.1593	39.7768	40.4527	24.3924	28.7241	32.5973	36.1454	39.0343	42.4881	45.6123	47.1048	49.3284	45.8831	0.880406	2.19493	3.34806	4.28349	4.99981	5.70393	4.95934	4.08311	3.2607	2.12711	0.875174	29.8229	49.4273	47.9716	45.451	43.0276	39.9726	36.2245	32.8694	29.1422	24.5571	41.8397	40.5594	35.2566	31.6508	27.0055	39.5168	36.5573	33.0752	32.9644
718.5	17.4003	18.8666	20.5971	24.0394	27.8534	31.1239	35.9497	40.6619	41.4865	26.002	30.4636	34.447	38.0765	40.9709	44.5025	47.6274	43.4851	0.97747	2.2968	3.48971	4.5943	5.62943	6.54227	7.2927	7.93729	7.26496	6.40492	5.56399	4.5421	3.48723	2.34736	1.00643	44.0129	47.4537	45.1167	42.032	38.1679	34.7569	30.9405	26.1894	42.945	41.4835	36.0433	32.4209	27.6946	39.8298	36.804	33.2931	33.2067
719	17.9192	19.4131	21.1524	24.6797	28.563	31.8211	36.7177	41.5186	42.4851	27.576	32.1629	36.2488	39.9471	42.8076	45.8248	0.713317	2.21378	3.49158	4.63553	5.74961	6.84235	7.88862	8.85263	9.66482	10.289	9.6507	8.77409	7.85117	6.82545	5.76956	4.6801	3.50773	2.20388	0.728024	46.5301	44.0046	40.0525	36.5996	32.7028	27.7879	44.0178	42.3806	36.8076	33.174	28.3694	40.1329	37.043	33.5044	33.4426
719.5	18.4286	19.9502	21.697	25.3085	29.2589	32.5	37.4625	42.3451	43.4453	29.113	33.8193	37.9933	41.6579	0.243432	1.7067	3.16615	4.50113	5.7284	6.89586	8.04941	9.19751	10.2894	11.3207	12.1998	12.8323	12.1989	11.2946	10.2766	9.21353	8.08711	6.92975	5.7339	4.48688	3.17072	1.69831	0.233436	41.78	38.3886	34.4268	29.3512	45.0551	43.2485	37.5486	33.9096	29.0297	40.4262	37.2744	33.7094	33.6722
720	18.9286	20.4778	22.2308	25.9257	29.941	33.1603	38.1831	43.1392	44.3638	30.6101	35.414	39.3099	0.719404	2.45425	3.96647	5.3746	6.71763	8.00642	9.26883	10.5005	11.7219	12.8603	13.9577	14.9059	15.5649	14.9175	13.9812	12.866	11.7651	10.5498	9.28841	8.00836	6.70775	5.36746	3.95495	2.43634	0.732804	39.7522	36.0946	30.8767	46.0535	44.0852	38.2653	34.6274	29.6754	40.7096	37.4983	33.908	33.8956
720.5	19.4194	20.9961	22.7539	26.5314	30.6093	33.8015	38.8785	43.898	45.2297	32.0377	36.2641	1.08978	2.94099	4.59205	6.12968	7.61138	9.0271	10.4146	11.795	13.1119	14.4054	15.5793	16.7374	17.7569	18.4542	17.7806	16.8112	15.5981	14.472	13.169	11.7966	10.4172	9.02997	7.59745	6.12167	4.58172	2.95041	1.09087	37.031	32.3352	47.0026	44.8877	38.9567	35.327	30.3064	40.983	37.7147	34.1003	34.113
721	19.9011	21.5051	23.2663	27.1255	31.2636	34.4234	39.5467	44.6089	45.945	32.8236	1.12117	3.18559	5.00791	6.71543	8.35755	9.95623	11.4606	12.9549	14.4583	15.855	17.2123	18.4074	19.6208	20.7142	21.4572	20.75	19.7475	18.4355	17.301	15.9179	14.4373	12.9601	11.4828	9.93803	8.35876	6.71956	5.01308	3.18533	1.12228	33.1438	47.8057	45.6437	39.621	36.0078	30.9225	41.2464	37.9236	34.2864	34.3243
721.5	20.3736	22.0048	23.7683	27.708	31.9037	35.0247	40.1793	45.1979	45.2162	0.676809	3.11042	5.17335	7.09163	8.90663	10.6826	12.4111	14.0006	15.5988	17.2238	18.6908	20.1019	21.3041	22.5683	23.7385	24.5316	23.7866	22.7521	21.3391	20.2128	18.7586	17.1751	15.6072	14.0473	12.3889	10.6972	8.9318	7.09481	5.17435	3.11326	0.698708	47.0056	46.2788	40.2493	36.6686	31.5235	41.4997	38.125	34.4664	34.5296
722	20.837	22.4954	24.2597	28.2787	32.5288	35.5982	40.6573	0.195216	1.19861	2.46253	4.99045	7.18532	9.23524	11.1729	13.0913	14.9506	16.6148	18.3104	20.0541	21.5817	23.0373	24.2336	25.545	26.7948	27.641	26.8559	25.7911	24.2741	23.1716	21.6539	19.9725	18.322	16.6904	14.9236	13.1231	11.2261	9.23863	7.19117	4.99878	2.48013	1.22032	0.222955	40.6954	37.3013	32.1085	41.7427	38.3191	34.6403	34.7291
722.5	21.2915	22.9768	24.7405	28.8368	33.1256	35.8245	0.47577	1.57355	2.69986	4.14863	6.83483	9.2211	11.4317	13.4954	15.5569	17.5436	19.2705	21.0568	22.9169	24.4965	25.9884	27.1669	28.5227	29.8548	30.7555	29.9298	28.8367	27.2121	26.1478	24.573	22.7972	21.0714	19.3793	17.5108	15.6094	13.5833	11.4366	9.23413	6.85041	4.1584	2.70808	1.60743	0.540572	37.4789	32.66	41.9723	38.5055	34.8083	34.9227
